name,sort_order
Non-alcoholic cocktails,1
Cocktails,2
Wines by the glass & carafe,3
Wines by the bottle,4
Spirits,5
Beers,6
Soft drinks,7
Fruit juice,8
Water,9
Hot drinks,10
