product_code,name,category,subcategory,section_name,description,abv,vegan,organic,producer,country,is_active
wine_c_tes_du_rh_ne_haut_de_brun_alain_jaume_2021,Côtes du Rhône Haut de Brun,wine,red,Wines by the bottle,"Alain Jaume, Rhône, France",13.5,,TRUE,Alain Jaume,France,TRUE
wine_g_rard_bertrand_naturaly_s_pinot_noir_g_rard_bertrand_2022,Gérard Bertrand Naturaly's Pinot Noir,wine,red,Wines by the bottle,"Occitanie, France",13.5,TRUE,TRUE,Gérard Bertrand,France,TRUE
wine_catena_appellation_vista_flores_malbec_catena_2022,Catena Appellation Vista Flores Malbec,wine,red,Wines by the bottle,"Mendoza, Argentina",13.5,TRUE,,Catena,Argentina,TRUE
wine_cervera_colors_negre_cervera_2022,Cervera Colors Negre,wine,red,Wines by the bottle,"Costers del Segre, Catalonia, Spain",15,TRUE,,Cervera,Spain,TRUE
wine_peppoli_antinori_chianti_classico_antinori_2023,Peppoli Antinori Chianti Classico,wine,red,Wines by the bottle,Italy,13.5,,,Antinori,Italy,TRUE
wine_luke_s_pinot_noir_balfour_2023,Luke's Pinot Noir,wine,red,Wines by the bottle,"Balfour, Kent, England",12.5,TRUE,,Balfour,England,TRUE
wine_ch_teau_cissac_haut_m_doc_ch_teau_cissac_2018,Château Cissac Haut-Médoc,wine,red,Wines by the bottle,"Bordeaux, France",13,,,Château Cissac,France,TRUE
wine_st_joseph_poivre_et_sol_francois_villard_2021,St Joseph Poivre et Sol,wine,red,Wines by the bottle,"Francois Villard, Rhône, France",12.5,TRUE,,Francois Villard,France,TRUE
item,,,,,,,,,,,
wine_la_fleur_d_or_sauternes_2021,La Fleur d'Or Sauternes,wine,dessert,Wines by the bottle,"Bordeaux, France (375ml bottle list)",13.5,TRUE,,,France,TRUE
wine_angelorum_recioto_della_valpolicella_masi_2019,Angelorum Recioto della Valpolicella,wine,dessert,Wines by the bottle,"Masi, Italy (375ml bottle list)",14,TRUE,,Masi,Italy,TRUE
item,,,,,,,,,,,
spirit_searcys_london_dry_gin_searcys,Searcys London Dry Gin,spirit,gin,Spirits,TBD,40,,,Searcys,England,TRUE
spirit_tanqueray_london_dry_gin_tanqueray,Tanqueray London Dry Gin,spirit,gin,Spirits,TBD,41.3,,,Tanqueray,England,TRUE
spirit_hendrick_s_hendrick_s,Hendrick's,spirit,gin,Spirits,TBD,41.4,,,Hendrick's,Scotland,TRUE
spirit_cygnet_dry_gin_cygnet,Cygnet Dry Gin,spirit,gin,Spirits,TBD,40,,,Cygnet,Wales,TRUE
item,,,,,,,,,,,
spirit_42_below_42_below,42 Below,spirit,vodka,Spirits,TBD,40,,,42 Below,New Zealand,TRUE
spirit_sipsmith_sipping_vodka_sipsmith,Sipsmith Sipping Vodka,spirit,vodka,Spirits,TBD,40,,,Sipsmith,England,TRUE
spirit_grey_goose_l_original_grey_goose,Grey Goose L'Original,spirit,vodka,Spirits,TBD,40,,,Grey Goose,France,TRUE
item,,,,,,,,,,,
spirit_bacardi_carta_blanca_bacardi,Bacardi Carta Blanca,spirit,rum,Spirits,TBD,37.5,,,Bacardi,Puerto Rico,TRUE
spirit_cargo_cult_banana_spiced_rum_cargo_cult,Cargo Cult Banana Spiced Rum,spirit,rum,Spirits,TBD,38,,,Cargo Cult,Australia,TRUE
spirit_xr_matusalem_15_gran_reserve_matusalem,XR Matusalem 15 Gran Reserve,spirit,rum,Spirits,TBD,40,,,Matusalem,Dominican Republic,TRUE
item,,,,,,,,,,,
spirit_olmeca_silver_olmeca,Olmeca Silver,spirit,tequila,Spirits,TBD,35,,,Olmeca,Mexico,TRUE
spirit_quiquiriqu_mezcal_quiquiriqu,Quiquiriquí­ Mezcal,spirit,tequila,Spirits,TBD,45,,,Quiquiriquí­,Mexico,TRUE
spirit_patron_reposado_patron,Patron Reposado,spirit,tequila,Spirits,TBD,40,,,Patron,Mexico,TRUE
item,,,,,,,,,,,
spirit_jack_daniel_s_old_no7_jack_daniel_s,Jack Daniel's Old No7,spirit,whisky,Spirits,TBD,40,,,Jack Daniel's,USA,TRUE
spirit_chivas_regal_12yo_chivas_regal,Chivas Regal 12yo,spirit,whisky,Spirits,TBD,40,,,Chivas Regal,Scotland,TRUE
spirit_johnnie_walker_black_label_johnnie_walker,Johnnie Walker Black Label,spirit,whisky,Spirits,TBD,40,,,Johnnie Walker,Scotland,TRUE
spirit_ardbeg_10yo_ardbeg,Ardbeg 10yo,spirit,whisky,Spirits,TBD,46,,,Ardbeg,Scotland,TRUE
item,,,,,,,,,,,
spirit_mancino_rosso_amaranto_mancino,Mancino Rosso Amaranto,spirit,vermouth,Spirits,TBD,16,,,Mancino,,TRUE
spirit_mancino_bianco_ambrato_mancino,Mancino Bianco Ambrato,spirit,vermouth,Spirits,TBD,16,,,Mancino,,TRUE
spirit_antica_formula_vermouth_antica_formula,Antica Formula Vermouth,spirit,vermouth,Spirits,TBD,16.5,,,Antica Formula,Italy,TRUE
spirit_campari_campari,Campari,spirit,liqueur,Spirits,TBD,28,,,Campari,Italy,TRUE
item,,,,,,,,,,,
spirit_limoncello_di_capri_limoncello_di_capri,Limoncello di Capri,spirit,liqueur,Spirits,TBD,30,,,Limoncello di Capri,Italy,TRUE
spirit_disaronno_amaretto_disaronno,Disaronno Amaretto,spirit,liqueur,Spirits,TBD,28,,,Disaronno,Italy,TRUE
spirit_nardini_bianco_grappa_nardini,Nardini Bianco Grappa,spirit,liqueur,Spirits,TBD,40,,,Nardini,Italy,TRUE
